immerse  - погружать
laid-back  - непринужденный
booze  - выпивка
superb  - великолепный
suburb  - пригород
banksia  - банксия
temporary  - временный
ancient  - древний
loaf  - буханка
conclusion  - умозаключение
squint  - косить глазами
portray  - изображать
soot  - сажа
infrared  - инфракрасный
discrepancy  - разногласие
depict  - изображать
resemblance  - сходство
despite  - несмотря на
waist  - талия
animate  - оживлять
apparently  - по всей видимости
previously  - прежде
accomplice  - сообщник
forgery  - подделка
disreputable  - с плохой репутацией
austere  - аскетичный
inherit  - унаследовать
genuine  - подлинный
lucrative  - прибыльный
striking  - изумительный
pre-eminently  - преимущественно
scam  - афера
authenticate  - устанавливать подлинность
forgery  - подделывание
artist  - художник
enormous  - гигантский
undated  - недатированный
authenticate  - удостоверять
mother-in-law  - тёща, свекровь
demand  - требование
appropriate  - подходящий
entertain  - развлекать
equipment  - оборудование
reliable  - надёжный
entertaining  - развлекательный
psychiatrist  - психиатр
motivate  - побуждать
hairdresser  - парикмахер
host family  - принимающая семья
descendant  - происходящий
ancestor  - предок
prosperous  - зажиточный
foster  - приёмный
adoptive  - приемный
tight-knit  - дружный
immediate family  - ближайшие родственники
well-off  - состоятельный
nuclear family  - полная семья
extended family  - расширенная семья
sanctuary  - заповедник
hunch over  - сутулиться
dedicate  - посвящать
nib  - кончик пера
zany  - идиотский
branch out  - ветвиться
sketchbook  - альбом с набросками
collaboration  - сотрудничество
quill  - перо для письма
line drawing  - рисунок карандашом
benevolent  - доброжелательный
touching  - трогательный
solitude  - одиночество
vibrant  - энергичный
attitude  - отношение
guerilla  - партизан
rubbish bin  - мусорный контейнер
relative  - относительный
destroy  - разрушать
force  - заставлять
worth  - стоимость
mindless  - безмозглый
market value  - рыночная стоимость
replica  - точная копия
stunt  - трюк
install  - устанавливать
elusive  - неуловимый
surreal  - сюрреалистический
installation  - установка
praise  - хвалить
kite  - парить
insist  - настаивать
consider  - считать
particular  - особенный
fur  - мех
peanut  - арахис
leather  - кожа
cot  - детская кроватка
prohibit  - запрещать
cricket  - крикет
rugby  - регби
sailing  - парусный спорт
although  - хотя
compete against sb  - соревноваться с кем-либо
divine  - божественный
disgrace  - позор
fencing sword  - шпага для спортивного фехтования
fencing  - фехтование
cutlery  - столовые приборы
prawn  - креветка
cottage cheese  - прессованный творог
tender  - мягкий
tough  - жёсткий
peel  - кожура
fibre  - клетчатка
disease  - заболевание
harm  - наносить ущерб
lettuce  - салат
get fatter  - толстеть
enjoy a variety of foods  - есть разнообразную пищу
eat out  - есть вне дома
portion  - часть
dish  - блюдо
follow a diet  - придерживаться диеты
heat up  - подогревать
have a proper meal  - правильно питаться
wholemeal bread  - цельнозерновой хлеб
stew  - блюдо из тушёного мяса или рыбы
addicted  - пристрастившийся
cuisine  - кухня
increasing  - увеличивающийся
newcomer  - новичок
